text,intent
tell me which leads to focus on,lead_priority
which leads are most likely to convert,lead_priority
which lead should i attend first,lead_priority
how do i choose priority leads,lead_priority
who needs immediate follow up,lead_priority
which lead is stronger,lead_priority
which lead should i work first,lead_priority
how do i identify top leads,lead_priority

how should i follow up,followup_strategy
when should i follow up,followup_strategy
what is the best follow up strategy,followup_strategy
how often should i contact leads,followup_strategy
what should i do after prediction,followup_strategy
how should placement officers follow up,followup_strategy
what is the next step after getting score,followup_strategy
what should be my follow up plan,followup_strategy
how do i follow up these leads,followup_strategy
what action should i take after prediction,followup_strategy
how to handle low probability leads,followup_strategy
how to handle medium probability leads,followup_strategy
how to handle high probability leads,followup_strategy
how should i treat low score leads,followup_strategy
what should i do with high score leads,followup_strategy
what should i do with medium score leads,followup_strategy
how should i contact these leads,followup_strategy
what is the correct next action,followup_strategy
how should i proceed after prediction,followup_strategy
what follow up is recommended,followup_strategy

can i trust this model,model_trust
how accurate is this model,model_trust
is this prediction reliable,model_trust
how confident is the model,model_trust
is this system accurate,model_trust
can i depend on this score,model_trust
is this tool trustworthy,model_trust
should i trust this result,model_trust
is this chatbot reliable,model_trust
is the model dependable,model_trust
how reliable is this system,model_trust
can we depend on this system,model_trust
is this score trustworthy,model_trust
how much can i trust this output,model_trust
is the prediction dependable,model_trust

which lead source performs best,source_performance
which source gives best conversion,source_performance
which source is most effective,source_performance
where do best leads come from,source_performance
which source has highest conversion,source_performance
which source is better,source_performance
best source for admissions,source_performance
which source performs well,source_performance
best converting source,source_performance
where are quality leads coming from,source_performance
which source brings better leads,source_performance
which source gives quality leads,source_performance
what is the best lead source,source_performance
which source should we focus on,source_performance
where are the top leads coming from,source_performance

will this lead convert,predict_conversion
predict this student,predict_conversion
check conversion probability,predict_conversion
can you predict admission conversion,predict_conversion
is this lead likely to convert,predict_conversion
predict the lead,predict_conversion
show conversion chance,predict_conversion
can you evaluate this lead,predict_conversion
predict this lead,predict_conversion
check this lead,predict_conversion
can you check this lead,predict_conversion
tell me if this lead will convert,predict_conversion
find admission probability,predict_conversion
predict conversion for this lead,predict_conversion
check admission conversion,predict_conversion
evaluate this student,predict_conversion
can you predict this lead,predict_conversion
show me the probability,predict_conversion
give me conversion probability,predict_conversion
check whether this lead will convert,predict_conversion
please predict this lead,predict_conversion
can you predict now,predict_conversion
let me know the conversion chance,predict_conversion
help me predict this lead,predict_conversion
can you evaluate this student now,predict_conversion
